selected_order,train_id_filtered,train_id_original,label_id,label_name,label_raw
0,33553,33553,0,impressionism,0
1,9427,9427,4,baroque,4
2,199,199,8,ukiyo_e,8
3,12447,12447,4,baroque,4
4,39489,39489,4,baroque,4
5,42724,42724,0,impressionism,0
6,10822,10822,9,renaissance,9
7,49498,49498,1,realism,1
8,4144,4144,4,baroque,4
9,36958,36958,7,surrealism,7
10,43106,43106,3,expressionism,3
11,38695,38695,2,romanticism,2
12,6188,6188,5,post_impressionism,5
13,1414,1414,4,baroque,4
14,18471,18471,1,realism,1
15,29282,29282,2,romanticism,2
16,15177,15177,3,expressionism,3
17,34304,34304,2,romanticism,2
18,12609,12609,5,post_impressionism,5
19,12144,12144,5,post_impressionism,5
20,6113,6113,7,surrealism,7
21,15908,15908,3,expressionism,3
22,821,821,9,renaissance,9
23,15118,15118,6,art_nouveau,6
24,13466,13466,1,realism,1
25,26497,26497,7,surrealism,7
26,42111,42111,0,impressionism,0
27,30188,30188,0,impressionism,0
28,37237,37237,9,renaissance,9
29,33109,33109,7,surrealism,7
30,36480,36480,1,realism,1
31,24148,24148,2,romanticism,2
32,5503,5503,6,art_nouveau,6
33,3918,3918,8,ukiyo_e,8
34,38478,38478,8,ukiyo_e,8
35,21123,21123,3,expressionism,3
36,49717,49717,7,surrealism,7
37,42294,42294,8,ukiyo_e,8
38,47609,47609,6,art_nouveau,6
39,11076,11076,0,impressionism,0
40,41514,41514,2,romanticism,2
41,22062,22062,1,realism,1
42,9413,9413,6,art_nouveau,6
43,38340,38340,8,ukiyo_e,8
44,30263,30263,3,expressionism,3
45,41252,41252,3,expressionism,3
46,14644,14644,4,baroque,4
47,26335,26335,8,ukiyo_e,8
48,28102,28102,2,romanticism,2
49,17523,17523,8,ukiyo_e,8
50,24712,24712,9,renaissance,9
51,40485,40485,0,impressionism,0
52,3850,3850,0,impressionism,0
53,40040,40040,7,surrealism,7
54,15267,15267,2,romanticism,2
55,49146,49146,8,ukiyo_e,8
56,30001,30001,3,expressionism,3
57,45926,45926,9,renaissance,9
58,43824,43824,8,ukiyo_e,8
59,17240,17240,5,post_impressionism,5
60,4892,4892,7,surrealism,7
61,725,725,2,romanticism,2
62,22949,22949,0,impressionism,0
63,34657,34657,4,baroque,4
64,37213,37213,9,renaissance,9
65,20304,20304,4,baroque,4
66,15269,15269,8,ukiyo_e,8
67,22367,22367,0,impressionism,0
68,42684,42684,0,impressionism,0
69,46734,46734,0,impressionism,0
70,11732,11732,1,realism,1
71,18619,18619,4,baroque,4
72,48492,48492,7,surrealism,7
73,26803,26803,0,impressionism,0
74,44305,44305,3,expressionism,3
75,47522,47522,9,renaissance,9
76,32207,32207,7,surrealism,7
77,2530,2530,5,post_impressionism,5
78,17746,17746,3,expressionism,3
79,8270,8270,9,renaissance,9
80,15079,15079,8,ukiyo_e,8
81,13624,13624,7,surrealism,7
82,30638,30638,0,impressionism,0
83,30440,30440,8,ukiyo_e,8
84,36056,36056,2,romanticism,2
85,42651,42651,0,impressionism,0
86,36803,36803,3,expressionism,3
87,48224,48224,0,impressionism,0
88,29226,29226,4,baroque,4
89,5633,5633,0,impressionism,0
90,5987,5987,6,art_nouveau,6
91,48063,48063,5,post_impressionism,5
92,1812,1812,8,ukiyo_e,8
93,27578,27578,5,post_impressionism,5
94,16823,16823,2,romanticism,2
95,3928,3928,1,realism,1
96,37286,37286,9,renaissance,9
97,25045,25045,7,surrealism,7
98,15727,15727,3,expressionism,3
99,29600,29600,8,ukiyo_e,8
100,10430,10430,1,realism,1
101,25768,25768,5,post_impressionism,5
102,29103,29103,0,impressionism,0
103,36537,36537,5,post_impressionism,5
104,39328,39328,8,ukiyo_e,8
105,35539,35539,7,surrealism,7
106,28075,28075,6,art_nouveau,6
107,17840,17840,2,romanticism,2
108,27802,27802,7,surrealism,7
109,7682,7682,9,renaissance,9
110,24279,24279,9,renaissance,9
111,33070,33070,5,post_impressionism,5
112,35557,35557,3,expressionism,3
113,37189,37189,1,realism,1
114,47149,47149,5,post_impressionism,5
115,46915,46915,1,realism,1
116,9801,9801,3,expressionism,3
117,38800,38800,3,expressionism,3
118,24669,24669,5,post_impressionism,5
119,44233,44233,1,realism,1
120,31919,31919,0,impressionism,0
121,7134,7134,1,realism,1
122,33704,33704,1,realism,1
123,29660,29660,8,ukiyo_e,8
124,17893,17893,7,surrealism,7
125,22018,22018,2,romanticism,2
126,13538,13538,4,baroque,4
127,43118,43118,7,surrealism,7
128,36420,36420,9,renaissance,9
129,9405,9405,0,impressionism,0
130,13413,13413,6,art_nouveau,6
131,6720,6720,0,impressionism,0
132,15601,15601,2,romanticism,2
133,44743,44743,9,renaissance,9
134,31138,31138,0,impressionism,0
135,2729,2729,3,expressionism,3
136,38242,38242,0,impressionism,0
137,29625,29625,2,romanticism,2
138,47894,47894,3,expressionism,3
139,42090,42090,6,art_nouveau,6
140,36399,36399,2,romanticism,2
141,6244,6244,4,baroque,4
142,5545,5545,5,post_impressionism,5
143,4064,4064,4,baroque,4
144,12851,12851,3,expressionism,3
145,21802,21802,6,art_nouveau,6
146,41163,41163,6,art_nouveau,6
147,6232,6232,8,ukiyo_e,8
148,3862,3862,0,impressionism,0
149,35094,35094,9,renaissance,9
150,40195,40195,3,expressionism,3
151,39250,39250,6,art_nouveau,6
152,6217,6217,7,surrealism,7
153,36775,36775,8,ukiyo_e,8
154,42976,42976,2,romanticism,2
155,48467,48467,3,expressionism,3
156,14831,14831,6,art_nouveau,6
157,30092,30092,8,ukiyo_e,8
158,8893,8893,0,impressionism,0
159,6020,6020,1,realism,1
160,46088,46088,4,baroque,4
161,15242,15242,3,expressionism,3
162,45307,45307,4,baroque,4
163,26550,26550,9,renaissance,9
164,6034,6034,7,surrealism,7
165,7905,7905,1,realism,1
166,32225,32225,4,baroque,4
167,6017,6017,8,ukiyo_e,8
168,21879,21879,2,romanticism,2
169,2791,2791,8,ukiyo_e,8
170,42605,42605,0,impressionism,0
171,5823,5823,4,baroque,4
172,15387,15387,4,baroque,4
173,29561,29561,9,renaissance,9
174,39475,39475,1,realism,1
175,292,292,4,baroque,4
176,16957,16957,0,impressionism,0
177,30860,30860,8,ukiyo_e,8
178,14073,14073,7,surrealism,7
179,21856,21856,4,baroque,4
180,22079,22079,3,expressionism,3
181,17023,17023,5,post_impressionism,5
182,8739,8739,3,expressionism,3
183,15825,15825,1,realism,1
184,2741,2741,7,surrealism,7
185,18048,18048,9,renaissance,9
186,49936,49936,4,baroque,4
187,17372,17372,2,romanticism,2
188,22021,22021,6,art_nouveau,6
189,46364,46364,8,ukiyo_e,8
190,23537,23537,8,ukiyo_e,8
191,45499,45499,1,realism,1
192,40185,40185,2,romanticism,2
193,9613,9613,5,post_impressionism,5
194,43281,43281,9,renaissance,9
195,37891,37891,5,post_impressionism,5
196,26178,26178,0,impressionism,0
197,45892,45892,4,baroque,4
198,20933,20933,8,ukiyo_e,8
199,40971,40971,9,renaissance,9
200,22224,22224,6,art_nouveau,6
201,24381,24381,1,realism,1
202,34855,34855,4,baroque,4
203,48577,48577,1,realism,1
204,38536,38536,8,ukiyo_e,8
205,31755,31755,6,art_nouveau,6
206,7753,7753,8,ukiyo_e,8
207,46638,46638,8,ukiyo_e,8
208,43834,43834,6,art_nouveau,6
209,26235,26235,9,renaissance,9
210,44229,44229,8,ukiyo_e,8
211,49596,49596,4,baroque,4
212,18552,18552,7,surrealism,7
213,43136,43136,6,art_nouveau,6
214,36672,36672,8,ukiyo_e,8
215,43649,43649,9,renaissance,9
216,3940,3940,9,renaissance,9
217,31496,31496,4,baroque,4
218,26593,26593,9,renaissance,9
219,23921,23921,6,art_nouveau,6
220,26402,26402,6,art_nouveau,6
221,45942,45942,4,baroque,4
222,48525,48525,9,renaissance,9
223,18315,18315,2,romanticism,2
224,36893,36893,3,expressionism,3
225,26695,26695,3,expressionism,3
226,42127,42127,3,expressionism,3
227,14170,14170,1,realism,1
228,3732,3732,3,expressionism,3
229,7881,7881,0,impressionism,0
230,6016,6016,8,ukiyo_e,8
231,23029,23029,5,post_impressionism,5
232,35473,35473,2,romanticism,2
233,49685,49685,2,romanticism,2
234,4817,4817,4,baroque,4
235,41693,41693,1,realism,1
236,12007,12007,5,post_impressionism,5
237,41327,41327,3,expressionism,3
238,9506,9506,3,expressionism,3
239,44798,44798,1,realism,1
240,34062,34062,8,ukiyo_e,8
241,27474,27474,4,baroque,4
242,31143,31143,1,realism,1
243,21235,21235,3,expressionism,3
244,1390,1390,0,impressionism,0
245,38249,38249,7,surrealism,7
246,37624,37624,1,realism,1
247,42028,42028,4,baroque,4
248,20834,20834,6,art_nouveau,6
249,14757,14757,9,renaissance,9
250,26396,26396,6,art_nouveau,6
251,6808,6808,0,impressionism,0
252,9225,9225,1,realism,1
253,48394,48394,4,baroque,4
254,5395,5395,6,art_nouveau,6
255,6943,6943,5,post_impressionism,5
256,23870,23870,9,renaissance,9
257,32492,32492,5,post_impressionism,5
258,36345,36345,8,ukiyo_e,8
259,10755,10755,5,post_impressionism,5
260,12301,12301,6,art_nouveau,6
261,48386,48386,0,impressionism,0
262,42745,42745,0,impressionism,0
263,29089,29089,1,realism,1
264,44712,44712,9,renaissance,9
265,14343,14343,5,post_impressionism,5
266,38172,38172,2,romanticism,2
267,5071,5071,4,baroque,4
268,24121,24121,8,ukiyo_e,8
269,48809,48809,0,impressionism,0
270,17820,17820,6,art_nouveau,6
271,1122,1122,9,renaissance,9
272,11264,11264,9,renaissance,9
273,30579,30579,1,realism,1
274,45464,45464,0,impressionism,0
275,48216,48216,6,art_nouveau,6
276,43044,43044,5,post_impressionism,5
277,15656,15656,5,post_impressionism,5
278,1900,1900,9,renaissance,9
279,147,147,6,art_nouveau,6
280,29642,29642,6,art_nouveau,6
281,3211,3211,9,renaissance,9
282,43850,43850,4,baroque,4
283,2354,2354,9,renaissance,9
284,31520,31520,6,art_nouveau,6
285,42583,42583,0,impressionism,0
286,43337,43337,2,romanticism,2
287,45284,45284,1,realism,1
288,46956,46956,5,post_impressionism,5
289,48790,48790,1,realism,1
290,36585,36585,5,post_impressionism,5
291,10465,10465,0,impressionism,0
292,7821,7821,1,realism,1
293,7205,7205,4,baroque,4
294,6413,6413,3,expressionism,3
295,34046,34046,0,impressionism,0
296,12728,12728,4,baroque,4
297,6925,6925,8,ukiyo_e,8
298,27995,27995,9,renaissance,9
299,37612,37612,6,art_nouveau,6
300,39483,39483,9,renaissance,9
301,3016,3016,5,post_impressionism,5
302,1640,1640,7,surrealism,7
303,8883,8883,0,impressionism,0
304,37601,37601,3,expressionism,3
305,12969,12969,6,art_nouveau,6
306,23463,23463,5,post_impressionism,5
307,15757,15757,2,romanticism,2
308,44076,44076,8,ukiyo_e,8
309,4086,4086,9,renaissance,9
310,508,508,4,baroque,4
311,6354,6354,8,ukiyo_e,8
312,29644,29644,0,impressionism,0
313,20815,20815,9,renaissance,9
314,6234,6234,6,art_nouveau,6
315,31989,31989,4,baroque,4
316,12995,12995,0,impressionism,0
317,42501,42501,0,impressionism,0
318,38920,38920,4,baroque,4
319,262,262,9,renaissance,9
320,7891,7891,1,realism,1
